,hotel,url,index,score,latitude,longitude,description,city,latitude_city,longitude_city,temp,rain
0,Austin's Arts Et Metiers Hotel,https://www.booking.com/hotel/fr/austin-s-arts-et-metiers.fr.html,0,8.2,48.86601094,2.35709757,"L’Austin’s Hotel est situé dans le quartier du Marais, dans le centre de Paris, à 500 mètres de la place de la République et à 600 mètres du centre Pompidou. L’hôtel dispose d’une réception ouverte 24h/24 qui propose des ordinateurs avec connexion Internet gratuite.

Toutes les chambres insonorisées de l’Austin’s Arts Et Metiers Hotel disposent de la climatisation, d’une télévision par satellite à écran plat et d’une connexion Wi-Fi gratuite.

L’hôtel sert un petit-déjeuner continental que vous pourrez déguster dans la salle de petit-déjeuner ou dans le confort de votre chambre. Un plateau de courtoisie avec du thé, du café et du lait est mis à disposition dans chaque chambre.

L'Austin's Arts Et Metiers Hotel se trouve à 30 mètres de la station de métro Arts & Métiers. De là, vous pourrez rejoindre les stations de métro Hôtel de Ville et Opéra en 10 minutes.",Paris,48.8588897,2.3200410217200766,21.03,4.8
1,Sonder Quintinie,https://www.booking.com/hotel/fr/residence-quintinie-square.fr.html,4,8.3,48.83908932,2.30657101,"Doté d'une connexion Wi-Fi gratuite et d'une terrasse, l’hôtel Sonder Quintinie vous propose un hébergement indépendant à Paris. Le parc des expositions Paris Expo - Porte de Versailles se trouve à 1,5 km de l'établissement, tandis que l'Institut Pasteur est accessible à 5 minutes de marche.

Revêtus de parquet, tous les studios décorés avec goût comprennent de grandes fenêtres et une literie confortable. Leur kitchenette est équipée d'un micro-ondes et d'un réfrigérateur. Des plaques de cuisson, une machine à café et une bouilloire sont également à disposition. Le linge de lit est fourni.

L'hôtel Sonder Quintinie se trouve à 2,3 km de la tour Eiffel et à 2,7 km du musée d'Orsay. L’aéroport de Paris-Orly, le plus proche, est installé à 13 km. Enfin, l’hôtel possède aussi un parking gratuit pour les vélos dans la cour, sous réserve de disponibilité.",Paris,48.8588897,2.3200410217200766,21.03,4.8
2,WIT Hotel,https://www.booking.com/hotel/fr/mattle.fr.html,2,7.1,48.87363773,2.344881,"WIT Hotel se trouve à 15 minutes à pied de l'opéra Garnier et des Galeries Lafayette. Il propose des chambres climatisées desservies par un ascenseur et dotées d'une télévision et d'une connexion Internet.

Un petit-déjeuner buffet est servi chaque jour. WIT Hotel comprend également une réception ouverte 24h/24.

L'hôtel est situé en face des Folies-Bergère, à 2 minutes à pied de la station de métro Grands Boulevards qui permet d’accéder aux Champs-Élysées et à la tour Eiffel.",Paris,48.8588897,2.3200410217200766,21.03,4.8
3,Parc Hotel,https://www.booking.com/hotel/fr/parc.fr.html,7,7.6,48.82469312,2.32677072,"Le Parc Hotel se trouve dans un quartier paisible de Paris, à 400 mètres de l'arrêt de tramway Porte d'Orléans permettant d'accéder au parc des expositions de la porte de Versailles en moins de 15 minutes. Il est également situé à 450 mètres de la station de métro Alésia, desservant directement le centre-ville.

Les chambres insonorisées de l'établissement disposent d'un bureau et d'une télévision par câble à écran LED. Leur salle de bains privative est pourvue d'un sèche-cheveux. Toutes les chambres sont non-fumeurs et desservies par un ascenseur.

L'hôtel sert un petit-déjeuner buffet quotidien. Il possède un distributeur automatique disponible 24h/24 et un service de commande de journaux. Une connexion Wi-Fi est mise gratuitement à votre disposition dans l'ensemble du Parc Hotel, et vous pourrez profiter d'un parking public à proximité.

Les transports en commun disponibles près de l'établissement vous permettront d'accéder directement aux principaux sites d'intérêt de Paris. Les jardins du Luxembourg et Saint-Michel se trouvent à 15 minutes, et la place du Châtelet est à 20 minutes de l'hôtel.",Paris,48.8588897,2.3200410217200766,21.03,4.8
4,Hotel des Vosges,https://www.booking.com/hotel/fr/des-vosges-paris.fr.html,6,8.0,48.86777797,2.38290846,"L'Hotel des Vosges vous accueille dans le XXe arrondissement de Paris, à seulement 700 mètres du cimetière du Père Lachaise. Il vous propose une réception ouverte 24h/24 et une connexion Wi-Fi gratuite. La station de métro Ménilmontant, située à 95 mètres, vous permettra de rejoindre directement le Sacré Cœur.

Sobrement décorées, les chambres disposent toutes d'une télévision à écran plat, d'une armoire et du chauffage. Elles possèdent également une salle de bains privative.

Le matin, un petit-déjeuner continental vous sera servi dans la salle prévue à cet effet à l'Hotel des Vosges. Des restaurants vous attendent à quelques pas.

À pied depuis l'Hotel des Voges, vous rejoindrez le quartier très prisé d'Oberkampf en 5 minutes et le parc des Buttes Chaumont en 15 minutes. La gare du Nord est située sur la même ligne de métro et la gare de l'Est se trouve à 2,5 km. Vous bénéficierez de prix réduits pour le stationnement.",Paris,48.8588897,2.3200410217200766,21.03,4.8
5,Amiral-Fondary,https://www.booking.com/hotel/fr/amiral-fondary.fr.html,1,8.2,48.84778595,2.29383677,"L'hôtel Amiral-Fondary est situé dans le 15ème arrondissement de Paris, à 15 minutes à pied de la Tour Eiffel et de L'Hôtel National des Invalides. L’établissement dispose d’une connexion Wi-Fi gratuite.

Les chambres de l'Amiral-Fondary sont équipées d'une salle de bains privative, de la climatisation et d'une télévision à écran plat.

L'hôtel sert un petit-déjeuner continental quotidien, qui peut également être pris en chambre sur demande.

L’établissement se trouve à seulement 150 mètres de la station de métro Émile Zola, qui vous permettra d'accéder aux nombreux sites touristiques de la capitale. La gare Montparnasse est accessible en 10 minutes en métro.",Paris,48.8588897,2.3200410217200766,21.03,4.8
6,55 Hôtel Montparnasse,https://www.booking.com/hotel/fr/hotel-montparnasse.fr.html,5,7.7,48.83358173,2.31775045,"Situé dans le 14e arrondissement animé de Paris, le 55 Hôtel Montparnasse propose un petit-déjeuner buffet composé de viennoiseries fraîchement sorties du four, à 100 mètres de la station de métro Pernety, qui permet de rejoindre les Champs-Élysées, et à 650 mètres de la gare de Montparnasse.

Climatisées, les chambres contemporaines comprennent une télévision par satellite à écran plat et le double vitrage. Une connexion Wi-Fi est en outre mise gratuitement à votre disposition. La salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gratuits.

Le petit-déjeuner buffet vous sera servi dans la salle à manger. Tout au long de la journée, vous pourrez également déguster des collations et un éventail de boissons au bar.

Enfin, vous séjournerez à 20 minutes en transports en commun de la Porte de Versailles.",Paris,48.8588897,2.3200410217200766,21.03,4.8
7,Hotel Paris Italie,https://www.booking.com/hotel/fr/best-western-de-weha.fr.html,3,7.9,48.82999188,2.35672586,"Le Paris Italie bénéficie d’un emplacement idéal pour visiter Paris. Cet établissement se trouve à proximité du Quartier latin, de la célèbre rue Mouffetard et de la Butte-aux-Cailles. Une connexion Wi-Fi est disponible gratuitement.

Les chambres climatisées du Paris Italie sont toutes pourvues d’une télévision à écran plat et d’une salle de bains privative.

Doté d'une réception ouverte 24h/24, l’établissement est situé à côté du centre commercial Italie Deux.

L’emplacement central du Paris Italie vous permettra de rejoindre facilement toutes les destinations touristiques prisées de la ville, que ce soit à pied ou en transports en commun. Vous pourrez notamment emprunter le métro à la station Place d’Italie, située à 120 mètres de l’établissement. Le palais omnisports AccorHotels Arena se trouve à 1,9 km.",Paris,48.8588897,2.3200410217200766,21.03,4.8
8,Hotel de l'Aqueduc,https://www.booking.com/hotel/fr/aqueduc.fr.html,11,7.2,48.88137821,2.36191906,"L'Hotel de l'Aqueduc est situé dans le centre-ville de Paris, à côté de la Gare du Nord. Il dispose d'une réception ouverte 24h/24 et de chambres avec ascenseur, télévision par satellite et connexion Wi-Fi gratuite.

L'hôtel propose un petit-déjeuner buffet et la réception fournit des journaux quotidiens.

La Gare du Nord et Gare de l'Est sont situées à côté de l'hôtel. Elle permettent de traverser Paris et ses environs en métro, en RER et donnent accès à l'Eurostar.

Le Canal Saint-Martin est à seulement 400 mètres et Montmartre à 1 km. Vous pourrez prendre le RER direct pour rejoindre le Parc des Expositions de Villepinte en 30 minutes.",Paris,48.8588897,2.3200410217200766,21.03,4.8
9,Hôtel Dalila,https://www.booking.com/hotel/fr/hoteldalila.fr.html,8,8.0,48.89657408,2.34364791,"Situated in the popular area of Montmartre, Hôtel Dalila offers accommodation with free guaranteed high-speed WiFi and view over Montmartre, a 17-minute walk from the Sacré-Coeur Basilica. You will find a 24-hour front desk at the property.

 Each air-conditioned and soundproofed room features a telephone and a flat-screen TV with satellite channels.

An American breakfast is available daily. Several bars and restaurants can be reached within a walking distance.

while Opéra Garnier is 2.9 km from the property. The nearest metro is Jules Joffrin, which is only 2 minutes' walk from the hotel and gives direct access to St. Michel, and Jules Joffrin metro station is 500 metres away. Gare du Nord Train station is a 12-minute metro ride away and guests can reach the Stade de France directly via the nearby RER train line. Charles de Gaulle Airport is 22 km away. Les Docks de Paris Event Venue is 2.3 km away.",Paris,48.8588897,2.3200410217200766,21.03,4.8
